name,price,image
Audi A4 2015, 54.900.000,https://www.autoselecto.com/wp-content/uploads/Audi-A4-2015-4-405x330.png
Audi Q2 2021, 99.800.000,https://www.autoselecto.com/wp-content/uploads/AUDI-Q2-2021-AUTOSELECTO-4-1-405x330.png
Audi Q3 2019, 99.800.000,https://www.autoselecto.com/wp-content/uploads/Audi-Q3-2019-7-1-405x330.png
Audi Q5 2.0 Tfsi S-tronic Luxury, 55.900.000,https://www.autoselecto.com/wp-content/uploads/1-14-405x330.png
Chevrolet Captiva Sport 2011, 29.800.000,https://www.autoselecto.com/wp-content/uploads/Chevrolet-Captiva-2011-5-1-405x330.png
Chevrolet Cruze 1.8 Platinum Lt, 67.800.000,https://www.autoselecto.com/wp-content/uploads/1-13-405x330.png
Chevrolet Joy 2022, 46.900.000,https://www.autoselecto.com/wp-content/uploads/CHEVROLET-JOY-2023-1-405x330.jpeg
Chevrolet Optra 1.8 Advance, 24.900.000,https://www.autoselecto.com/wp-content/uploads/woocommerce-placeholder-405x330.png
Chevrolet Tracker Ls 2015, 39.800.000,https://www.autoselecto.com/wp-content/uploads/Chevrolet-Tracker-2015-5-405x330.png
Citroen ds3 sport 2013, 37.500.000,https://www.autoselecto.com/wp-content/uploads/Citroen-DS3-2013-10-405x330.png
Fiat Uno Way 2019, 35.900.000,https://www.autoselecto.com/wp-content/uploads/FIAT-UNO-WAY-2019-AUTOSELECTO-2-1-405x330.png
Ford Ecosport Freestile 4×4 2020, 64.900.000,https://www.autoselecto.com/wp-content/uploads/FORD-ECOSPORT-FREESTILE-.4x4.2020-11-405x330.jpeg
Ford Edge Limited 2013, 48.800.000,https://www.autoselecto.com/wp-content/uploads/Ford-Edge-Limited-2013-6-405x330.png
Ford Explorer Limited 4×4 2019, 109.900.000,https://www.autoselecto.com/wp-content/uploads/Ford-explorer-2019-6-405x330.png
Ford Ranger 3.2 Limited 2023, 176.900.000,https://www.autoselecto.com/wp-content/uploads/FORD-RANGER-2023-AUTOSELECTO-2-405x330.jpg
Great Wall Wingle 5. 4×4 Disel 2018, 67.800.000,https://www.autoselecto.com/wp-content/uploads/1-12-405x330.png
Hyundai Accent i25, 36.900.000,https://www.autoselecto.com/wp-content/uploads/HYUNDAI-ACCENT-I25-2013-9-405x330.png
Hyundai Tucson 2013, 54.900.000,https://www.autoselecto.com/wp-content/uploads/Hyundai-Tucson-2013-2-405x330.jpg
Kia Carens 2015, 54.700.000,https://www.autoselecto.com/wp-content/uploads/KIA-CARENS-2015-AUTOSELECTO-2-405x330.png
Kia Niro hibrida 2022, 105.900.000,https://www.autoselecto.com/wp-content/uploads/Kia-Niro-2022-2-1-405x330.png
Kia Sportage 2014, 58.900.000,https://www.autoselecto.com/wp-content/uploads/Kia-Sportage-2014-4-405x330.png
Mazda 3 2011, 30.900.000,https://www.autoselecto.com/wp-content/uploads/Mazda-3-2011-2-405x330.png
Mazda 3 Touring 2019, 63.900.000,https://www.autoselecto.com/wp-content/uploads/Mazda-3-touring-2019-6-405x330.png
Mazda CX-5 2.0 Touring Camioneta, 119.800.000,https://www.autoselecto.com/wp-content/uploads/1-10-405x330.png
Mitsubishi Montero 1998, 31.800.000,https://www.autoselecto.com/wp-content/uploads/Mitsubishi-Montero-1998-3-405x330.png
NISSAN QASHQAI 2014, 47.900.000,https://www.autoselecto.com/wp-content/uploads/NISSAN-QASHQAI-2014-1-405x330.jpeg
Nissan Qashqai 2018, 71.900.000,https://www.autoselecto.com/wp-content/uploads/Nissan-Qashai-2018-4-405x330.png
Nissan X-trail 2.5 Exclusive,0,https://www.autoselecto.com/wp-content/uploads/1-15-405x330.png
Peugeot 2008 1.2 Gt Line 2023, 102.700.000,https://www.autoselecto.com/wp-content/uploads/D_NQ_NP_2X_614477-MCO78923444291_092024-F-405x330.webp
Renault Duster Oroch 4×4 2020, 72.800.000,https://www.autoselecto.com/wp-content/uploads/RENAULT-DUSTER-OROCH-4X4-2020.-12-405x330.jpeg
Renault New Koleos 2017, 68.900.000,https://www.autoselecto.com/wp-content/uploads/RENAULT-KOLEOS-2017-AUTOSELECTO-2-405x330.png
Renault Sandero 1.6 Life, 44.800.000,https://www.autoselecto.com/wp-content/uploads/7-17-405x330.png
Ssangyong Actyon 4X4 2007, 30.900.000,https://www.autoselecto.com/wp-content/uploads/Ssangyong-Actyon-2007-2-405x330.png
SsangYoung Tivoli 2019, 49.800.000,https://www.autoselecto.com/wp-content/uploads/20240910_172318_0000-405x330.png
Subaru Forester XS 2012, 55.800.000,https://www.autoselecto.com/wp-content/uploads/SUBARU-FORESTER-XS-2012-AUTOSELECTO-18-405x330.png
Suzuki Grand Vitara 2.7 Sz, 38.900.000,https://www.autoselecto.com/wp-content/uploads/1-19-405x330.png
VOLKSWAGE CROOXFOX 2015, 36.800.000,https://www.autoselecto.com/wp-content/uploads/VOLKSWAGE-CROOXFOX-2015-5-405x330.png
Volkswagen Tiguan 2019, 86.900.000,https://www.autoselecto.com/wp-content/uploads/1-8-405x330.png
Volkswagen Vento Confort Line, 39.800.000,https://www.autoselecto.com/wp-content/uploads/5_20240910_164241_0004-405x330.png
